Index,Q1_text,Q1_code,Q2_text,Q2_code,Q3_text,Q3_code,Q4_text,Q4_code,Q5_text,Q5_code,Q6_text,Q6_code,Q7_text,Q7_code,Q8_text,Q8_code,Q9_text_original,Q9_code,Q10_text,Q10_code,Q11_text,Q11_code,Q12_text,Q12_code,Q13_text,Q13_code,Q14_text,Q14_code,Q15_text,Q15_code,Q16_text_original,Q16_code,Q17_text,Q17_code,Q18_text,Q18_code,Q19_text,Q19_code,Q20_text,Q20_code,Q21_text,Q21_code,Q22_text,Q22_code,Q23_text,Q23_code,Q24_text,Q24_code,Q25_text,Q25_code,Q26_text,Q26_code,Q27_text,Q27_code,Q28_text_original,Q28_code,Q29_text_original,Q29_code,Q30_text,Q30_code,Q31_text_original,Q31_code,Q32_text,Q32_code,Q33_text,Q33_code,Q34_text,Q34_code,Q29 text,Q16_text,Q9_text,Q28_text,Q29_text,Q31_text
6204,Grade 6,1,Female,2,I live in the dorm,1,No,2,,-1,,-1,Confident,4,Sometimes,3,"['Short stories', 'School materials', 'Comic books']","2,4,5",Rarely,2,Always,5,Neutral,3,Yes,1,Yes,1,Strongly agree,5,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,7,8",Math,1,Chinese,4,STEM,16,1-2 hours,3,Often,4,8-9 hours,3,Sometimes,3,Every day,5,30-60 minutes,3,Very healthy,5,Not stressed at all,1,"['Sports', 'Talk to friends or family', 'Listen to music', 'Take a walk or go outside']","1,2,4,8","['Sports', 'Watching videos', 'Reading', 'Studying', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","1,4,5,6,7,8,9",Less than 1 hour,1,['WeChat'],1,Once a week,3,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Extracurricular activities', 'Enjoying the school environment']","['Short stories', 'School materials', 'Comic books']","['Sports', 'Talk to friends or family', 'Listen to music', 'Take a walk or go outside']","['Sports', 'Watching videos', 'Reading', 'Studying', 'Listening to music', 'Socializing with friends', 'Arts and crafts']",['WeChat']
6205,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,Very confident,5,Every day,5,"['Novels', 'Short stories', 'School materials']","1,2,4",Always,5,Always,5,Very confident,5,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",,-1,Chinese,4,,-1,More than 2 hours,4,Sometimes,3,8-9 hours,3,Often,4,Every day,5,15-30 minutes,2,Healthy,4,Stressed,4,"['Sports', 'Play games', 'Listen to music', 'Watch videos or movies', 'Sleep or rest']","1,3,4,5,9","['Sports', 'Playing video games', 'Watching videos', 'Reading', 'Studying']","1,3,4,5,6",Less than 1 hour,1,['Other'],8,Never,1,Occasionally (Once a month),2,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Short stories', 'School materials']","['Sports', 'Play games', 'Listen to music', 'Watch videos or movies', 'Sleep or rest']","['Sports', 'Playing video games', 'Watching videos', 'Reading', 'Studying']",['Other']
6206,Grade 6,1,Female,2,I live in the dorm,1,Yes,1,One,1,I have a younger sister,2,Very confident,5,Every day,5,['Novels'],1,Always,5,Always,5,Very confident,5,Yes,1,Yes,1,Strongly agree,5,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Extracurricular activities', 'Enjoying the school environment']","1,3,4,5,7,8",Drama,13,Chemistry,5,English,2,30 minutes to 1 hour,2,Often,4,8-9 hours,3,Often,4,2-3 times per week,4,30-60 minutes,3,Very healthy,5,A little stressed,2,"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art']","2,3,4,5,6,7","['Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","2,3,4,5,7,8,9",2 hours,3,"['WeChat', 'Xiaohongshu']","1,4",Once or twice per month,2,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Extracurricular activities', 'Enjoying the school environment']",['Novels'],"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art']","['Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","['WeChat', 'Xiaohongshu']"
6207,Grade 6,1,Female,2,I live with my parents,2,No,2,,-1,,-1,Neutral,3,Sometimes,3,"['Novels', 'Comic books']","1,5",Sometimes,3,Rarely,2,Confident,4,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",Chinese,4,Math,1,Chinese,4,30 minutes to 1 hour,2,Often,4,8-9 hours,3,Often,4,Every day,5,15-30 minutes,2,Neutral,3,A little stressed,2,"['Play games', 'Listen to music', 'Watch videos or movies']","3,4,5","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music']","2,3,4,7",Less than 1 hour,1,"['WeChat', 'Xiaohongshu']","1,4",Once or twice per month,2,Sometimes (Every other week),3,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Comic books']","['Play games', 'Listen to music', 'Watch videos or movies']","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music']","['WeChat', 'Xiaohongshu']"
6208,Grade 6,1,Female,2,I live with my parents,2,Yes,1,One,1,I have a younger sister,2,Neutral,3,Never,1,['School materials'],4,Never,1,Often,4,Neutral,3,Yes,1,Yes,1,Neutral,3,['Meeting my friends'],1,STEM,16,Math,1,Art,11,More than 2 hours,4,Rarely,2,Less than 6 hours,1,Rarely,2,Every day,5,30-60 minutes,3,A little,2,Very stressed,5,"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Sleep or rest']","2,3,4,5,9","['Listening to music', 'Socializing with friends']","7,8",Less than 1 hour,1,['Other'],8,Never,1,Often (2-3 times a week),5,,-1,,['Meeting my friends'],['School materials'],"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Sleep or rest']","['Listening to music', 'Socializing with friends']",['Other']
6209,Grade 6,1,Female,2,I live with my parents,2,Yes,1,One,1,I have a younger brother,4,Very confident,5,Sometimes,3,['Novels'],1,Often,4,Always,5,Confident,4,No,2,Yes,1,Neutral,3,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']","1,3,4,5,6,7",Art,11,English,2,STEM,16,1-2 hours,3,Sometimes,3,8-9 hours,3,Often,4,Once a week,3,30-60 minutes,3,Healthy,4,Stressed,4,"['Sports', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","1,4,5,7,8,9","['Drawing', 'Listening to music', 'Arts and crafts']","2,7,9",Less than 1 hour,1,"['Xiaohongshu', 'Other']","4,8",Once or twice per month,2,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities']",['Novels'],"['Sports', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","['Drawing', 'Listening to music', 'Arts and crafts']","['Xiaohongshu', 'Other']"
6210,Grade 6,1,Male,1,I live in the dorm,1,Yes,1,One,1,I have a younger brother,4,Not confident at all,1,Rarely,2,['Comic books'],5,Sometimes,3,Often,4,A little confident,2,No,2,Yes,1,Neutral,3,['Extracurricular activities'],7,P.E.,12,English,2,P.E.,12,1-2 hours,3,Often,4,8-9 hours,3,Sometimes,3,Every day,5,More than 1 hour,4,Very healthy,5,Stressed,4,['Sports'],1,['Sports'],1,2 hours,3,['Kuaishou'],7,Once a week,3,Sometimes (Every other week),3,,-1,,['Extracurricular activities'],['Comic books'],['Sports'],['Sports'],['Kuaishou']
6211,Grade 6,1,Male,1,I live in the dorm,1,Yes,1,One,1,I have an older brother,3,Neutral,3,Rarely,2,['Comic books'],5,Always,5,Rarely,2,Not confident at all,1,No,2,No,2,Neutral,3,"['Meeting my friends', 'Participating in fun events', 'Extracurricular activities']","1,3,7",P.E.,12,Moral Education,10,P.E.,12,More than 2 hours,4,Sometimes,3,6-7 hours,2,Rarely,2,Every day,5,15-30 minutes,2,Neutral,3,Neutral,3,"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Take a walk or go outside', 'Sleep or rest']","1,2,3,4,5,8,9","['Sports', 'Playing video games', 'Listening to music', 'Socializing with friends']","1,3,7,8",More than 3 hours,5,"['WeChat', 'TikTok (Douyin)', 'Other']","1,2,8",Once or twice per month,2,Occasionally (Once a month),2,,-1,,"['Meeting my friends', 'Participating in fun events', 'Extracurricular activities']",['Comic books'],"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Take a walk or go outside', 'Sleep or rest']","['Sports', 'Playing video games', 'Listening to music', 'Socializing with friends']","['WeChat', 'TikTok (Douyin)', 'Other']"
6212,Grade 6,1,Female,2,I live in the dorm,1,Yes,1,One,1,I have a younger brother,4,Neutral,3,Rarely,2,['Short stories'],2,Never,1,Sometimes,3,Not confident at all,1,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Learning new things', 'Exploring my favorite subjects']","1,4,6",Math,1,,-1,Chinese,4,1-2 hours,3,Always,5,6-7 hours,2,Rarely,2,2-3 times per week,4,15-30 minutes,2,Healthy,4,Not stressed at all,1,"['Listen to music', 'Watch videos or movies', 'Sleep or rest', 'Other']","4,5,9,10","['Playing video games', 'Watching videos', 'Studying', 'Listening to music']","3,4,6,7",2-3 hours,4,['WeChat'],1,Never,1,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Learning new things', 'Exploring my favorite subjects']",['Short stories'],"['Listen to music', 'Watch videos or movies', 'Sleep or rest', 'Other']","['Playing video games', 'Watching videos', 'Studying', 'Listening to music']",['WeChat']
6213,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,Neutral,3,Often,4,['School materials'],4,Rarely,2,Sometimes,3,Not confident at all,1,No,2,No,2,Neutral,3,"['Meeting my friends', 'Extracurricular activities', 'Enjoying the school environment']","1,7,8",Moral Education,10,Geography,9,Art,11,More than 2 hours,4,Always,5,6-7 hours,2,Often,4,2-3 times per week,4,30-60 minutes,3,Healthy,4,A little stressed,2,"['Watch videos or movies', 'Sleep or rest']","      5,9","['Playing video games', 'Watching videos', 'Socializing with friends']","3,4,8",2 hours,3,"['WeChat', 'Bilibili']","1,6",Once a week,3,Never,1,,-1,,"['Meeting my friends', 'Extracurricular activities', 'Enjoying the school environment']",['School materials'],"['Watch videos or movies', 'Sleep or rest']","['Playing video games', 'Watching videos', 'Socializing with friends']","['WeChat', 'Bilibili']"
6214,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,A little confident,2,Sometimes,3,"['Novels', 'Short stories', 'Comic books']","1,2,5",Often,4,Often,4,Not confident at all,1,No,2,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",Art,11,Math,1,Drama,13,1-2 hours,3,Sometimes,3,8-9 hours,3,Often,4,Every day,5,30-60 minutes,3,Neutral,3,A little stressed,2,"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","1,2,3,4,5,6,7,8,9","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","1,2,3,4,5,7,8,9",Around 1 hour,2,['Bilibili'],6,Once a week,3,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Short stories', 'Comic books']","['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","['Sports', 'Drawing', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']",['Bilibili']
6216,Grade 6,1,Male,1,I live with my parents,2,Yes,1,One,1,I have an older brother,3,Confident,4,Often,4,['Novels'],1,Often,4,Sometimes,3,A little confident,2,Yes,1,Yes,1,Strongly agree,5,"['Meeting my friends', 'Participating in fun events', 'Working on group projects', 'Extracurricular activities']","1,3,5,7",Math,1,Geography,9,Math,1,30 minutes to 1 hour,2,Always,5,8-9 hours,3,Always,5,Every day,5,15-30 minutes,2,Very healthy,5,A little stressed,2,"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Take a walk or go outside', 'Sleep or rest']","1,2,3,4,5,6,8,9","['Sports', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends']","1,3,4,5,7,8",Less than 1 hour,1,['TikTok (Douyin)'],2,Once a week,3,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Participating in fun events', 'Working on group projects', 'Extracurricular activities']",['Novels'],"['Sports', 'Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Read books', 'Take a walk or go outside', 'Sleep or rest']","['Sports', 'Playing video games', 'Watching videos', 'Reading', 'Listening to music', 'Socializing with friends']",['TikTok (Douyin)']
6217,Grade 6,1,Female,2,I live with my parents,2,Yes,1,One,1,I have an older sister,1,Neutral,3,Often,4,['Novels'],1,Sometimes,3,Often,4,Neutral,3,Yes,1,Yes,1,,-1,"['Meeting my friends', 'Working on group projects', 'Extracurricular activities']","1,5,7",Art,11,Math,1,Art,11,1-2 hours,3,Often,4,8-9 hours,3,Often,4,Every day,5,15-30 minutes,2,A little,2,Neutral,3,"['Read books', 'Draw or create art', 'Take a walk or go outside']","6,7,8","['Watching videos', 'Socializing with friends', 'Arts and crafts']","4,8,9",Around 1 hour,2,"['WeChat', 'Xiaohongshu']","1,4",Once a week,3,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Working on group projects', 'Extracurricular activities']",['Novels'],"['Read books', 'Draw or create art', 'Take a walk or go outside']","['Watching videos', 'Socializing with friends', 'Arts and crafts']","['WeChat', 'Xiaohongshu']"
6218,Grade 6,1,Male,1,I live in the dorm,1,No,2,,-1,,-1,A little confident,2,Rarely,2,"['Novels', 'School materials']","1,4",Never,1,Often,4,Neutral,3,No,2,Yes,1,Neutral,3,"['Meeting my friends', 'Learning new things', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,4,6,7,8",Geography,9,Math,1,Geography,9,1-2 hours,3,Often,4,8-9 hours,3,Rarely,2,Every day,5,15-30 minutes,2,Healthy,4,A little stressed,2,"['Sports', 'Talk to friends or family', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside']","1,2,4,5,6,7,8","['Sports', 'Drawing', 'Watching videos', 'Reading', 'Studying', 'Listening to music']","1,2,4,5,6,7",Less than 1 hour,1,['Other'],8,Never,1,Regularly (Once a week),4,,-1,,"['Meeting my friends', 'Learning new things', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'School materials']","['Sports', 'Talk to friends or family', 'Listen to music', 'Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside']","['Sports', 'Drawing', 'Watching videos', 'Reading', 'Studying', 'Listening to music']",['Other']
6219,Grade 6,1,Female,2,I live with my parents,2,No,2,,-1,,-1,Very confident,5,Often,4,"['Novels', 'Short stories', 'Non-fiction', 'School materials', 'Comic books']","1,2,3,4,5",Never,1,Always,5,Very confident,5,Yes,1,Yes,1,Strongly agree,5,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",English,2,Geography,9,English Art,14,1-2 hours,3,Always,5,8-9 hours,3,Always,5,2-3 times per week,4,30-60 minutes,3,Very healthy,5,Neutral,3,"['Sports', 'Talk to friends or family', 'Listen to music', 'Watch videos or movies', 'Read books', 'Take a walk or go outside', 'Sleep or rest']","1,2,4,5,6,8,9","['Sports', 'Watching videos', 'Reading', 'Listening to music', 'Arts and crafts']","1,4,5,7,9",Less than 1 hour,1,['WeChat'],1,Once or twice per month,2,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Short stories', 'Non-fiction', 'School materials', 'Comic books']","['Sports', 'Talk to friends or family', 'Listen to music', 'Watch videos or movies', 'Read books', 'Take a walk or go outside', 'Sleep or rest']","['Sports', 'Watching videos', 'Reading', 'Listening to music', 'Arts and crafts']",['WeChat']
6220,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,Neutral,3,Every day,5,['School materials'],4,Rarely,2,Sometimes,3,Neutral,3,Yes,1,Yes,1,Agree,4,"['Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","3,4,5,6,7,8",Math,1,Chinese,4,English Art,14,1-2 hours,3,Often,4,10+ hours,4,Often,4,Every day,5,15-30 minutes,2,Healthy,4,A little stressed,2,"['Listen to music', 'Take a walk or go outside']","      4,8","['Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']","3,4,7,8",Less than 1 hour,1,['WeChat'],1,Once or twice per month,2,Occasionally (Once a month),2,,-1,,"['Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['School materials'],"['Listen to music', 'Take a walk or go outside']","['Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends']",['WeChat']
6221,Grade 6,1,Male,1,I live with my parents,2,No,2,,-1,,-1,Confident,4,Every day,5,"['Novels', 'Non-fiction', 'School materials']","1,3,4",Rarely,2,Always,5,Confident,4,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",,-1,,-1,,-1,1-2 hours,3,Always,5,8-9 hours,3,Always,5,Every day,5,More than 1 hour,4,Healthy,4,Not stressed at all,1,"['Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","5,6,7,8,9","['Sports', 'Drawing', 'Watching videos', 'Reading', 'Studying', 'Socializing with friends', 'Arts and crafts']","1,2,4,5,6,8,9",2-3 hours,4,['Other'],8,Never,1,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Non-fiction', 'School materials']","['Watch videos or movies', 'Read books', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest']","['Sports', 'Drawing', 'Watching videos', 'Reading', 'Studying', 'Socializing with friends', 'Arts and crafts']",['Other']
6222,Grade 6,1,Female,2,I live with my parents,2,Yes,1,One,1,I have an older sister,1,Neutral,3,Every day,5,"['Novels', 'Non-fiction', 'School materials', 'Comic books']","1,3,4,5",Sometimes,3,Often,4,Neutral,3,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",P.E.,12,Moral Education,10,P.E.,12,1-2 hours,3,Often,4,8-9 hours,3,Often,4,Every day,5,More than 1 hour,4,Very healthy,5,Neutral,3,"['Sports', 'Play games', 'Listen to music', 'Draw or create art']","1,3,4,7","['Sports', 'Drawing', 'Playing video games', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","1,2,3,5,7,8,9",,-1,['Bilibili'],6,Once or twice per month,2,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Non-fiction', 'School materials', 'Comic books']","['Sports', 'Play games', 'Listen to music', 'Draw or create art']","['Sports', 'Drawing', 'Playing video games', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']",['Bilibili']
6223,Grade 6,1,Male,1,I live in the dorm,1,Yes,1,One,1,I have a younger brother,4,Neutral,3,Every day,5,['School materials'],4,Never,1,Rarely,2,Neutral,3,Yes,1,Yes,1,Disagree,2,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",STEM,16,English,2,P.E.,12,More than 2 hours,4,Often,4,6-7 hours,2,Sometimes,3,Every day,5,15-30 minutes,2,Neutral,3,Not stressed at all,1,"['Play games', 'Listen to music', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest', 'Other']","3,4,7,8,9,10","['Sports', 'Drawing', 'Playing video games', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","1,2,3,5,7,8,9",Less than 1 hour,1,['Other'],8,Once or twice per month,2,Often (2-3 times a week),5,,-1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['School materials'],"['Play games', 'Listen to music', 'Draw or create art', 'Take a walk or go outside', 'Sleep or rest', 'Other']","['Sports', 'Drawing', 'Playing video games', 'Reading', 'Listening to music', 'Socializing with friends', 'Arts and crafts']",['Other']
7101,Grade 7,2,Female,2,I live with my parents,2,Yes,1,One,1,I have a younger brother,4,Neutral,3,Rarely,2,"['Short stories', 'Comic books']","2,5",Sometimes,3,Sometimes,3,A little confident,2,Yes,1,Yes,1,Agree,4,['Meeting my friends'],1,English Art,14,Math,1,Math,1,30 minutes to 1 hour,2,Sometimes,3,6-7 hours,2,Rarely,2,2-3 times per week,4,30-60 minutes,3,Very healthy,5,Neutral,3,"['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest']","2,3,4,5,7,9","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends', 'Arts and crafts']","2,3,4,7,8,9",2 hours,3,['WeChat'],1,Once or twice per month,2,Occasionally (Once a month),2,Class B,2,,['Meeting my friends'],"['Short stories', 'Comic books']","['Talk to friends or family', 'Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art', 'Sleep or rest']","['Drawing', 'Playing video games', 'Watching videos', 'Listening to music', 'Socializing with friends', 'Arts and crafts']",['WeChat']
7102,Grade 7,2,Male,1,I live with my parents,2,No,2,,-1,,-1,A little confident,2,Often,4,"['Novels', 'Short stories', 'Non-fiction', 'Comic books']","1,2,3,5",Always,5,Always,5,A little confident,2,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Participating in fun events', 'Extracurricular activities']","1,3,7",,-1,Math,1,Art,11,30 minutes to 1 hour,2,Always,5,8-9 hours,3,Always,5,Once a month,2,Less than 15 minutes,1,Neutral,3,Neutral,3,['Play games'],3,"['Drawing', 'Playing video games', 'Watching videos', 'Reading']","2,3,4,5",Around 1 hour,2,"['WeChat', 'Xiaohongshu']","1,4",Once or twice per month,2,Regularly (Once a week),4,Class B,2,,"['Meeting my friends', 'Participating in fun events', 'Extracurricular activities']","['Novels', 'Short stories', 'Non-fiction', 'Comic books']",['Play games'],"['Drawing', 'Playing video games', 'Watching videos', 'Reading']","['WeChat', 'Xiaohongshu']"
7103,Grade 7,2,Female,2,I live with my parents,2,Yes,1,One,1,I have a younger sister,2,A little confident,2,Sometimes,3,"['Novels', 'Short stories', 'Non-fiction', 'School materials']","1,2,3,4",Sometimes,3,Often,4,Neutral,3,Yes,1,Yes,1,Agree,4,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",Chinese,4,Math,1,Drama,13,1-2 hours,3,Always,5,8-9 hours,3,Sometimes,3,2-3 times per week,4,15-30 minutes,2,Neutral,3,Neutral,3,"['Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art']","3,4,5,7","['Drawing', 'Listening to music', 'Socializing with friends']","2,7,8",2-3 hours,4,"['WeChat', 'TikTok (Douyin)', 'Bilibili']","1,2,6",Never,1,Sometimes (Every other week),3,Class A,1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","['Novels', 'Short stories', 'Non-fiction', 'School materials']","['Play games', 'Listen to music', 'Watch videos or movies', 'Draw or create art']","['Drawing', 'Listening to music', 'Socializing with friends']","['WeChat', 'TikTok (Douyin)', 'Bilibili']"
7104,Grade 7,2,Male,1,I live with my parents,2,No,2,,-1,,-1,Very confident,5,Every day,5,['Novels'],1,,-1,Often,4,Very confident,5,Yes,1,Yes,1,Strongly agree,5,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Enjoying the school environment']","1,2,3,4,8",,-1,,-1,P.E.,12,1-2 hours,3,Always,5,10+ hours,4,Never,1,Every day,5,More than 1 hour,4,Very healthy,5,Very stressed,5,['Draw or create art'],7,"['Drawing', 'Reading', 'Studying', 'Socializing with friends', 'Arts and crafts']","2,5,6,8,9",Less than 1 hour,1,['Other'],8,Every day,5,Often (2-3 times a week),5,Class A,1,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Enjoying the school environment']",['Novels'],['Draw or create art'],"['Drawing', 'Reading', 'Studying', 'Socializing with friends', 'Arts and crafts']",['Other']
7105,Grade 7,2,Male,1,I live with my parents,2,Yes,1,One,1,I have an older sister,1,Neutral,3,Never,1,['Comic books'],5,Always,5,Often,4,Confident,4,Yes,1,Yes,1,Neutral,3,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']","1,2,3,4,5,6,7,8",P.E.,12,English,2,Math,1,Less than 30 minutes,1,Always,5,8-9 hours,3,Sometimes,3,Every day,5,More than 1 hour,4,Very healthy,5,Neutral,3,['Play games'],3,"['Sports', 'Playing video games']","1,3",2-3 hours,4,['Other'],8,Once or twice per month,2,Regularly (Once a week),4,Class C,3,,"['Meeting my friends', 'Interacting with my teachers', 'Participating in fun events', 'Learning new things', 'Working on group projects', 'Exploring my favorite subjects', 'Extracurricular activities', 'Enjoying the school environment']",['Comic books'],['Play games'],"['Sports', 'Playing video games']",['Other']
